Date [mm/dd/yyyy], Time [HH:MM:SS.ZZ], Latitude [deg], Longitude [deg]
7/14/2021,21:57:53.0,37.79432833,-122.41952833
7/14/2021,21:57:54.0,37.79432150,-122.41953550
7/14/2021,21:57:54.0,37.79432150,-122.41953550
7/14/2021,21:57:55.0,37.79431300,-122.41954217
7/14/2021,21:57:55.0,37.79431300,-122.41954217
7/14/2021,21:57:56.0,37.79430400,-122.41955017
7/14/2021,21:57:56.0,37.79430400,-122.41955017
7/14/2021,21:57:57.0,37.79429783,-122.41955667
7/14/2021,21:57:57.0,37.79429783,-122.41955667
7/14/2021,21:57:58.0,37.79429050,-122.41956233
7/14/2021,21:57:58.0,37.79429050,-122.41956233
7/14/2021,21:57:59.0,37.79428350,-122.41956800
7/14/2021,21:57:59.0,37.79428350,-122.41956800
7/14/2021,21:58:0.0,37.79427400,-122.41957433
7/14/2021,21:58:0.0,37.79427400,-122.41957433
7/14/2021,21:58:1.0,37.79426350,-122.41957750
7/14/2021,21:58:1.0,37.79426350,-122.41957750
7/14/2021,21:58:2.0,37.79425883,-122.41958583
7/14/2021,21:58:2.0,37.79425883,-122.41958583
7/14/2021,21:58:3.0,37.79425867,-122.41959650
7/14/2021,21:58:3.0,37.79425867,-122.41959650
7/14/2021,21:58:4.0,37.79425567,-122.41959983
7/14/2021,21:58:4.0,37.79425567,-122.41959983
7/14/2021,21:58:5.0,37.79425517,-122.41960750
7/14/2021,21:58:5.0,37.79425517,-122.41960750
7/14/2021,21:58:6.0,37.79424833,-122.41961100
7/14/2021,21:58:6.0,37.79424833,-122.41961100
7/14/2021,21:58:7.0,37.79425000,-122.41961433
7/14/2021,21:58:7.0,37.79425000,-122.41961433
7/14/2021,21:58:7.0,37.79425000,-122.41961433
7/14/2021,21:58:8.0,37.79425183,-122.41961383
7/14/2021,21:58:8.0,37.79425183,-122.41961383
7/14/2021,21:58:9.0,37.79425250,-122.41961500
7/14/2021,21:58:9.0,37.79425250,-122.41961500
7/14/2021,21:58:10.0,37.79425500,-122.41961617
7/14/2021,21:58:10.0,37.79425500,-122.41961617
7/14/2021,21:58:11.0,37.79425200,-122.41961633
7/14/2021,21:58:11.0,37.79425200,-122.41961633
7/14/2021,21:58:12.0,37.79424867,-122.41961817
7/14/2021,21:58:12.0,37.79424867,-122.41961817
7/14/2021,21:58:12.0,37.79424867,-122.41961817
7/14/2021,21:58:13.0,37.79424550,-122.41961950
7/14/2021,21:58:13.0,37.79424550,-122.41961950
7/14/2021,21:58:14.0,37.79424300,-122.41962017
7/14/2021,21:58:14.0,37.79424300,-122.41962017
7/14/2021,21:58:15.0,37.79424300,-122.41961017
7/14/2021,21:58:15.0,37.79424300,-122.41961017
7/14/2021,21:58:16.0,37.79424100,-122.41959917
7/14/2021,21:58:16.0,37.79424100,-122.41959917
7/14/2021,21:58:17.0,37.79424000,-122.41958783
7/14/2021,21:58:17.0,37.79424000,-122.41958783
7/14/2021,21:58:18.0,37.79423700,-122.41956383
7/14/2021,21:58:18.0,37.79423700,-122.41956383
7/14/2021,21:58:19.0,37.79424217,-122.41955683
7/14/2021,21:58:19.0,37.79424217,-122.41955683
7/14/2021,21:58:20.0,37.79423617,-122.41955783
7/14/2021,21:58:20.0,37.79423617,-122.41955783
7/14/2021,21:58:21.0,37.79422233,-122.41955050
7/14/2021,21:58:21.0,37.79422233,-122.41955050
7/14/2021,21:58:22.0,37.79420900,-122.41954083
7/14/2021,21:58:22.0,37.79420900,-122.41954083
7/14/2021,21:58:23.0,37.79419167,-122.41953583
7/14/2021,21:58:23.0,37.79419167,-122.41953583
7/14/2021,21:58:24.0,37.79417050,-122.41952800
7/14/2021,21:58:24.0,37.79417050,-122.41952800
7/14/2021,21:58:25.0,37.79414967,-122.41952017
7/14/2021,21:58:25.0,37.79414967,-122.41952017
7/14/2021,21:58:26.0,37.79412833,-122.41951283
7/14/2021,21:58:26.0,37.79412833,-122.41951283
7/14/2021,21:58:27.0,37.79410733,-122.41950583
7/14/2021,21:58:27.0,37.79410733,-122.41950583
7/14/2021,21:58:28.0,37.79409150,-122.41950333
7/14/2021,21:58:28.0,37.79409150,-122.41950333
7/14/2021,21:58:29.0,37.79407533,-122.41950267
7/14/2021,21:58:29.0,37.79407533,-122.41950267
7/14/2021,21:58:30.0,37.79405567,-122.41949767
7/14/2021,21:58:30.0,37.79405567,-122.41949767
7/14/2021,21:58:31.0,37.79404900,-122.41949217
7/14/2021,21:58:31.0,37.79404900,-122.41949217
7/14/2021,21:58:32.0,37.79404300,-122.41949050
7/14/2021,21:58:32.0,37.79404300,-122.41949050
7/14/2021,21:58:33.0,37.79403700,-122.41948900
7/14/2021,21:58:33.0,37.79403700,-122.41948900
7/14/2021,21:58:34.0,37.79402800,-122.41948367
7/14/2021,21:58:34.0,37.79402800,-122.41948367
7/14/2021,21:58:35.0,37.79401683,-122.41947250
7/14/2021,21:58:35.0,37.79401683,-122.41947250
7/14/2021,21:58:36.0,37.79399983,-122.41946183
7/14/2021,21:58:36.0,37.79399983,-122.41946183
7/14/2021,21:58:37.0,37.79398417,-122.41945650
7/14/2021,21:58:37.0,37.79398417,-122.41945650
7/14/2021,21:58:38.0,37.79397100,-122.41945533
7/14/2021,21:58:38.0,37.79397100,-122.41945533
7/14/2021,21:58:39.0,37.79396417,-122.41945017
7/14/2021,21:58:39.0,37.79396417,-122.41945017
7/14/2021,21:58:40.0,37.79395767,-122.41944517
7/14/2021,21:58:40.0,37.79395767,-122.41944517
7/14/2021,21:58:41.0,37.79395150,-122.41944433
7/14/2021,21:58:41.0,37.79395150,-122.41944433
7/14/2021,21:58:41.0,37.79395150,-122.41944433
7/14/2021,21:58:42.0,37.79393850,-122.41943817
7/14/2021,21:58:42.0,37.79393850,-122.41943817
7/14/2021,21:58:43.0,37.79392467,-122.41943417
7/14/2021,21:58:43.0,37.79392467,-122.41943417
7/14/2021,21:58:44.0,37.79390967,-122.41943383
7/14/2021,21:58:44.0,37.79390967,-122.41943383
7/14/2021,21:58:45.0,37.79390400,-122.41943217
7/14/2021,21:58:45.0,37.79390400,-122.41943217
7/14/2021,21:58:46.0,37.79389333,-122.41942900
7/14/2021,21:58:46.0,37.79389333,-122.41942900
7/14/2021,21:58:47.0,37.79388717,-122.41942800
7/14/2021,21:58:47.0,37.79388717,-122.41942800
7/14/2021,21:58:48.0,37.79386967,-122.41941350
7/14/2021,21:58:48.0,37.79386967,-122.41941350
7/14/2021,21:58:49.0,37.79386300,-122.41941300
7/14/2021,21:58:49.0,37.79386300,-122.41941300
7/14/2021,21:58:50.0,37.79385083,-122.41941067
7/14/2021,21:58:50.0,37.79385083,-122.41941067
7/14/2021,21:58:51.0,37.79384433,-122.41941000
7/14/2021,21:58:51.0,37.79384433,-122.41941000
7/14/2021,21:58:52.0,37.79383567,-122.41940983
7/14/2021,21:58:52.0,37.79383567,-122.41940983
7/14/2021,21:58:53.0,37.79382817,-122.41940767
7/14/2021,21:58:53.0,37.79382817,-122.41940767
7/14/2021,21:58:54.0,37.79382050,-122.41940617
7/14/2021,21:58:54.0,37.79382050,-122.41940617
7/14/2021,21:58:55.0,37.79381317,-122.41940517
7/14/2021,21:58:55.0,37.79381317,-122.41940517
7/14/2021,21:58:56.0,37.79380317,-122.41940150
7/14/2021,21:58:56.0,37.79380317,-122.41940150
7/14/2021,21:58:57.0,37.79379083,-122.41939500
7/14/2021,21:58:57.0,37.79379083,-122.41939500
7/14/2021,21:58:58.0,37.79377233,-122.41938450
7/14/2021,21:58:58.0,37.79377233,-122.41938450
7/14/2021,21:58:59.0,37.79376100,-122.41937217
7/14/2021,21:58:59.0,37.79376100,-122.41937217
7/14/2021,21:59:0.0,37.79375200,-122.41936000
7/14/2021,21:59:0.0,37.79375200,-122.41936000
7/14/2021,21:59:0.0,37.79375200,-122.41936000
7/14/2021,21:59:1.0,37.79374133,-122.41934650
7/14/2021,21:59:1.0,37.79374133,-122.41934650
7/14/2021,21:59:2.0,37.79373800,-122.41933800
7/14/2021,21:59:2.0,37.79373800,-122.41933800
7/14/2021,21:59:2.0,37.79373800,-122.41933800
7/14/2021,21:59:3.0,37.79372233,-122.41933667
7/14/2021,21:59:3.0,37.79372233,-122.41933667
7/14/2021,21:59:4.0,37.79371350,-122.41933617
7/14/2021,21:59:4.0,37.79371350,-122.41933617
7/14/2021,21:59:4.0,37.79371350,-122.41933617
7/14/2021,21:59:5.0,37.79369733,-122.41933417
7/14/2021,21:59:5.0,37.79369733,-122.41933417
7/14/2021,21:59:5.0,37.79369733,-122.41933417
7/14/2021,21:59:6.0,37.79368850,-122.41933317
7/14/2021,21:59:6.0,37.79368850,-122.41933317
7/14/2021,21:59:6.0,37.79368850,-122.41933317
7/14/2021,21:59:7.0,37.79367233,-122.41933083
7/14/2021,21:59:7.0,37.79367233,-122.41933083
7/14/2021,21:59:8.0,37.79366350,-122.41933033
7/14/2021,21:59:8.0,37.79366350,-122.41933033
7/14/2021,21:59:8.0,37.79366350,-122.41933033
7/14/2021,21:59:9.0,37.79364617,-122.41932817
7/14/2021,21:59:9.0,37.79364617,-122.41932817
7/14/2021,21:59:9.0,37.79364617,-122.41932817
7/14/2021,21:59:10.0,37.79363750,-122.41932750
7/14/2021,21:59:10.0,37.79363750,-122.41932750
7/14/2021,21:59:11.0,37.79362083,-122.41932517
7/14/2021,21:59:11.0,37.79362083,-122.41932517
7/14/2021,21:59:11.0,37.79362083,-122.41932517
7/14/2021,21:59:12.0,37.79361167,-122.41932500
7/14/2021,21:59:12.0,37.79361167,-122.41932500
7/14/2021,21:59:13.0,37.79360750,-122.41932550
7/14/2021,21:59:13.0,37.79360750,-122.41932550
7/14/2021,21:59:14.0,37.79360317,-122.41932100
7/14/2021,21:59:14.0,37.79360317,-122.41932100
7/14/2021,21:59:15.0,37.79359900,-122.41931650
7/14/2021,21:59:15.0,37.79359900,-122.41931650
7/14/2021,21:59:16.0,37.79359933,-122.41931667
7/14/2021,21:59:16.0,37.79359933,-122.41931667
7/14/2021,21:59:17.0,37.79360167,-122.41932050
7/14/2021,21:59:17.0,37.79360167,-122.41932050
7/14/2021,21:59:18.0,37.79360433,-122.41932350
7/14/2021,21:59:18.0,37.79360433,-122.41932350
7/14/2021,21:59:19.0,37.79360883,-122.41932467
7/14/2021,21:59:19.0,37.79360883,-122.41932467
7/14/2021,21:59:20.0,37.79361233,-122.41932533
7/14/2021,21:59:20.0,37.79361233,-122.41932533
7/14/2021,21:59:21.0,37.79361433,-122.41932867
7/14/2021,21:59:21.0,37.79361433,-122.41932867
7/14/2021,21:59:22.0,37.79361900,-122.41933200
7/14/2021,21:59:22.0,37.79361900,-122.41933200
7/14/2021,21:59:23.0,37.79362217,-122.41933750
7/14/2021,21:59:23.0,37.79362217,-122.41933750
7/14/2021,21:59:24.0,37.79362100,-122.41934033
7/14/2021,21:59:24.0,37.79362100,-122.41934033
7/14/2021,21:59:25.0,37.79361883,-122.41934317
7/14/2021,21:59:25.0,37.79361883,-122.41934317
7/14/2021,21:59:26.0,37.79361383,-122.41934517
7/14/2021,21:59:26.0,37.79361383,-122.41934517
7/14/2021,21:59:27.0,37.79360250,-122.41934367
